S#,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
50,"Hesston, Kansas","Hesston, Kansas",2/25/2016,,Open,random,psycho,"On Friday, 90 minutes after receiving a court order over domestic violence, the man returned to the factory for the shooting spree.The man who wounded three people before storming into the central Kansas the lawn mower factory where he worked and shooting 14 others, killing three of them, had just been served a protection from abuse order that likely triggered the attack. Police say they believe the man fired at random while he was returning to his workplace.",4,14,17,0,,1,factory,Unknown,Black American or African American,Male,38.1368,-97.4268
51,"Belfair, WA Family murder-suicide",,2/25/2016,Home,Close,Family,psycho,"Man killed wife, two kids, and neighbor before calling the cops to tell them he did something bad. They fired tear gas to get him outside. He came out and shot himself in the head.",5,0,4,0,,,,Unknown,White American or European American,Male,47.451459,-122.826946
52,Arizona Family Murder,"Glendale, Arizona",2/23/2016,Home,Close,Family,psycho,Son shot his parents and two sisters in their Phoenix home. Police arrive because the house was on fire. Police shot and killed the shooter.,5,0,4,0,,,,Unknown,White American or European American,Male,33.448377,-112.074037
53,Missouri Highway shooting,,2/21/2016,interstate in Hazelwood,Open,random,,"Car was fired upon from a stolen Mercedes on the interstate in Hazelwood, MO. One woman died. 3 Injured.",1,3,4,0,,,,Unknown,Black American or African American,Male,38.77144,-90.370949
54,Houston Drive-by,,2/21/2016,,Open,random,,"Group of people was fired upon by an unknown number of people in a dark SUV and a white Ford Truck. Five people, including a baby, were injured.",0,5,5,0,,,,Unknown,Unknown,Unknown,29.760427,-95.369803
55,Kalamazoo shooting spree,"Kalamazoo County, Michigan",2/20/2016,restaurant parking,Open,random,,"Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began.",6,2,8,0,,1,uber,Unclear,White,M,,
56,"Iuka, Mississippi","Iuka, Mississippi",2/20/2016,outside the house,Open,Policeman,domestic dispute,"Law enforcement officers in northeastern Mississippi stormed a house Saturday after an hours-long standoff with a gunman holed up inside, leading to a shootout that left one officer dead and three others wounded.The standoff started Friday afternoon when authorities responded to a domestic dispute call at the home near Iuka. But the man, holed up in his home with his wife and 10-year-old daughter, refused to come out, sparking the standoff with officers outside. The man suspected of firing on the officers was also killed.",2,3,4,1,,,,Unknown,White American or European American,Male,34.7404,-88.1383
57,Florida Hookah Bar Shooting,,2/20/2016,hookah bar parking,Open,random,anger,"Argument led to gun shots in the parking lot outside of a hookah bar in Tampa, Florida",1,3,4,0,,,,Unknown,Unknown,Unknown,27.950575,-82.457178
58,Kalamazoo Uber Driver Spree Killing,,2/20/2016,,Open,random,,An Uber driver fired upon people in three locations over the course of about 6 hours.,6,2,8,0,,1,uber,No,White American or European American,Male,42.291707,-85.587229
59,"Vallejo, CA car shooting",,2/19/2016,,Open,random,,"Two suspects shot at a car and killed one person outright, and the second victim died in the hospital. Two others injured. No leads on suspects.",2,2,4,0,,,,Unknown,Unknown,Unknown,38.104086,-122.256637
60,Michigan school shooting,,2/9/2016,outside gym,Open,random,psycho,"Shooter was a part of a fight outside of a high school gym. He fired at a crowd, injuring three. He fled the scene and was confronted by a police officer. When he wouldn't drop his weapon, the police officer shot and injured him.",0,3,3,0,,,,Unknown,Black American or African American,Male,43.201126,-86.238946
61,"Orlando, Florida","Orlando, Florida",2/7/2016,nightclub,Close,random,terrorism,Two people were killed and several others were hurt in a mass shooting inside an Orlando nightclub early Sunday morning.,2,10,12,0,,,,Unknown,Some other race,Male,28.4541,-81.4646
